[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/mohandass/Documents/R&D/GUI/demo-server/node-server
[NotebookApp | INFO] 0 active kernels
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8888/?token=8507c2ab0bdc10f7c69b0ab8f844f46bbd78d58f717240ea
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8888/?token=8507c2ab0bdc10f7c69b0ab8f844f46bbd78d58f717240ea
[NotebookApp | INFO] Accepting one-time-token-authenticated connection from 127.0.0.1
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/config/tree.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/config/tree?_=1529142563430 (127.0.0.1) 1.28ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/config/common.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/config/common?_=1529142563431 (127.0.0.1) 1.41ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/terminals.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/terminals?_=1529142563432 (127.0.0.1) 1.46ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/sessions.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/sessions?_=1529142563433 (127.0.0.1) 1.99ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/kernelspecs.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/kernelspecs (127.0.0.1) 1.63ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/terminals.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/terminals?_=1529142563434 (127.0.0.1) 1.63ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/config/tree.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/config/tree?_=1529142568806 (127.0.0.1) 1.72ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/config/common.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/config/common?_=1529142568807 (127.0.0.1) 1.97ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/terminals.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/terminals?_=1529142568808 (127.0.0.1) 1.87ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/kernelspecs.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/kernelspecs (127.0.0.1) 2.22ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/sessions.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/sessions?_=1529142568809 (127.0.0.1) 2.21ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/terminals.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/terminals?_=1529142568810 (127.0.0.1) 1.30ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/config/tree.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/config/tree?_=1529142576673 (127.0.0.1) 1.39ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/config/common.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/config/common?_=1529142576674 (127.0.0.1) 1.97ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/terminals.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/terminals?_=1529142576675 (127.0.0.1) 1.80ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/kernelspecs.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/kernelspecs (127.0.0.1) 3.39ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/sessions.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/sessions?_=1529142576676 (127.0.0.1) 1.26ms referer=http://localhost:8888/tree
[NotebookApp | WARNING] Blocking Cross Origin API request for /api/terminals.  Origin: http://evil.com/, Host: localhost:8888
[NotebookApp | WARNING] Not Found
[NotebookApp | WARNING] 404 GET /api/terminals?_=1529142576677 (127.0.0.1) 1.11ms referer=http://localhost:8888/tree
[NotebookApp | INFO] interrupted
[NotebookApp | CRITICAL] Shutdown confirmed
[NotebookApp | INFO] Shutting down 0 kernels
