,question,ques_id,reference_answer,student_answer,result,grade
0,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",By letting it sit in a dish for a day.,irrelevant,1
1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",Let the water evaporate and the salt is left behind.,correct,4
2,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",The water evaporated and left salt crystals.,correct,4
3,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",I saw a pinkish grayish color that was blocking the water.,irrelevant,1
4,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",You have to slowly tip the vial for only the water to go.,irrelevant,1
5,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.","By pouring the water and salt into the thing, and letting the water evaporate.",correct,4
6,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",By slowly pouring it in a tray.,irrelevant,1
7,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",The water evaporated so there was only salt left.,correct,4
8,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",We put the water with the salt in it and put it outside for the water to evaporate.,correct,4
9,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,irrelevant,1
10,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",Because you can see salt in water.,irrelevant,1
11,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",I let the water evaporate.,correct,4
12,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",The water dried up and left the salt.,correct,4
13,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",We let the water evaporate.,correct,4
14,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",The water dried up.,correct,4
15,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",You just get water and the smashed mock rock and put the smashed rock and water together.,irrelevant,1
16,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.","You put the water, a little bit, in a cup and leave it overnight.",partially_correct_incomplete,3
17,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,correct,4
18,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.,correct,4
19,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",We poured the salt into a Petri dish and poured the water out.,irrelevant,1
20,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",By the Petri dish.,irrelevant,1
21,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",By putting water in a Petri dish and letting the water evaporate.,correct,4
22,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",Poured the top of the vial out.,irrelevant,1
23,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",The salt dissolved and the water evaporated and the salt went to the bottom.,correct,4
24,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",We put it in a evaporation dish and the water evaporated.,correct,4
25,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",I put it on the evaporating dish.,correct,4
26,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",By pouring the water into the salt.,irrelevant,1
27,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",We poured the water out of the bottle.,irrelevant,1
28,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",Letting the water evaporate.,correct,4
29,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",Put it on a dish and then the water gets in the air and the salt stays.,correct,4
30,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",I do not know.,non_domain,0
31,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",The salt separated with the water because the salt was heavier but the water was not even heavy.,irrelevant,1
32,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",We put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,correct,4
33,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",I put some water in a dish and let the water evaporate so the salt would stay.,correct,4
34,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",Evaporate.,partially_correct_incomplete,3
35,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,EM_45b,"The water was evaporated, leaving the salt.",The crystals were salt.,irrelevant,1
36,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,We used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.,irrelevant,1
