question_id,grade,stud_id,question,ref_answer,student_answer,
1.1,3.5,[6],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.<br><br>,
1.1,5,[5],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,
1.1,4,[8],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,
1.1,5,[3],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",
1.1,3,[4],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,
1.1,2,[24],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,To find problem and errors in a program before it is finalized,
1.1,2.5,[9],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",
1.1,5,[22],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,you can break the whole program into prototype programs to simulate parts of the final program,
1.1,3.5,[23],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,-To provide an example or model of how the finished program should perfom.<br> -Provides forsight of some of the challanges that would be encountered.<br> -Provides opportunity To introduce changes To the finished program.,
1.1,5,[2],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,Simulating the behavior of only a portion of the desired software product.,
1.1,5,[29],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,  A program that stimulates the behavior of portions of the desired software product.,
1.1,5,[31],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,A program that simulates the behavior of portions of the desired software product.,
1.1,2,[12],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,To lay out the basics and give you a starting point in the actual problem solving.,
1.1,4.5,[21],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,To simulate problem solving for parts of the problem,
1.1,2,[13],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,
1.1,4.5,[11],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",
1.1,5,[17],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,Program that simulates the behavior of portions of the desired software product,
1.1,2,[7],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,it provides a limited proof of concept to verify with the client before actually programming the whole application.<br>,
1.1,2,[10],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,It tests the main function of the program while leaving out the finer details.<br>,
1.1,2.5,[27],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.,
1.1,5,[20],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,it simulates the behavior of portions of the desired software product,
1.1,5,[18],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,It simulates the behavior of portions of the desired software product.,
1.1,1.5,[19],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,A prototype program is used in problem solving to collect data for the problem.,
1.1,2.5,[16],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,To ease the understanding of problem under discussion and to ease the understanding of the program itself,
1.1,5,[26],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,it simulates the behavior of portions of the desired software product,
1.1,2,[1],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,The role of a prototype program is to help spot key problems that may arise during the actual programing. ,
1.1,3,[28],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,"the prototype program gives a general idea of what the end product will do, <br><br>without the time and effort to write out the entire program.",
1.1,3,[15],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,to show that a certain part of the program works as it is supposed to,
1.1,2.5,[14],What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution. ",
1.2,3.5,[6],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.,
1.2,4,[5],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),The implementation phase and the maintenance phase are effected,
1.2,4.5,[8],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Verification, coding, refining the solution and maintenance are all influenced by the testing stage.",
1.2,3,[3],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"In RUP the stages in the software life cycle are influenced by the testing stage is:<br><br>Elaboration phase- refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates.<br><br>Construction phase- iterative development of remaining system.<br><br>Transition phase-testing and deployment of the system.",
1.2,3,[4],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining the solution, Production and Maintenance are all influenced by the Testing stage. ",
1.2,2,[24],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Elaboration, Construction, and Transition are all affected by testing",
1.2,3.5,[9],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining, Production, Maintenance",
1.2,4,[22],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining the solution,
1.2,2,[23],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),-Verification<br> -Debugging,
1.2,5,[2],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining and Coding,
1.2,2.5,[29],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The second half of the Elaboration phase, Construction phase, and the Transition phase.<br>",
1.2,3.5,[31],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The refining step, the production step, and the maintenance stage.<br> ",
1.2,2,[12],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Elaboration, Construction, Transition",
1.2,3,[21],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining.,
1.2,1.5,[13],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.",
1.2,5,[11],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Directly: Refining, coding.  Because Refining is right before the Testing Phase and Coding is right after the Testing Phase.<br><br>Indirectly: Production, Maintenance.  Because Refining occurs before these last two stages in the Software Life Cycle.",
1.2,3.5,[17],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Testing, refining, production, and maintenance.",
1.2,1.5,[7],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Depending on how the work is done, Testing is spread throughout the <br>process as to prevent errors from showing up later on due to lack of<br>foresight.<br>",
1.2,2.5,[10],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Elaboration, construction, and transition.",
1.2,1.5,[27],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"All stages are influenced except setting the program requirements.  If a test fails, it can change the whole design, implementation, etc of a program as well as the final outcome.",
1.2,3,[20],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining, production, and maintenance",
1.2,5,[18],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),coding and refining,
1.2,3.5,[19],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"refining, production, maintenance.",
1.2,1,[16],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Removing logical errors, testing for valid data, random data and actual data.",
1.2,2.5,[26],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),1- specification<br>2- design<br>3- risk analysis<br>4- verification<br>5- coding<br>6- testing<br>7- refining<br>8- production<br>9- maintenance,
1.2,3.5,[1],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining stage, Production stage, and Maintenance stage.<br><br>",
1.2,2,[28],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Testing could affect all parts of the life cycle, it could make you go back <br><br>to specification if it does not test well.
1.2,3,[15],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),coding,
1.2,1.5,[14],What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The Individual components and steps such as  analysis, design, and implementing code  as well as the entire system are tested for execution of the requirements identified during the analysis stage. i.e. Main output ",
1.3,4.5,[6], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism.",
1.3,5,[5], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"This type of programming is more flexible, making it easier to add and modify the program.  It is also a type of a fail safe program, you check each individual module.  This eliminates redundant code and makes the program easier to read for other programmers.  When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",
1.3,3.5,[8], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,The main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier.<br>,
1.3,2.5,[3], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,The advantages is that OOP allows us to build classes of objects.  Three principles that make up OOP are:<br><br>Encapsulation- Objects combine data and operations.<br><br>Inheritance- Classes can inherit properties from other classes.<br><br>Polymorphism- Objects can determine appropriate operations at execution time.,
1.3,3.5,[4], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.,
1.3,1,[24], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,
1.3,4,[9], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems.",
1.3,2.5,[22], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Encapsulation-objects combine data and operations<br>Inheritance- classes can inherit properties from other classes<br>Polymorphism- Objects can determine appropriate operations at execution time,
1.3,3,[23], What are the main advantages associated with object-oriented programming?,Abstraction and reusability., -Easier to debugg<br>  -Reusability,
1.3,4,[2], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Re-usability  and ease of maintenance,
1.3,5,[29], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"  One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works.<br>  Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance.<br>  Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism.<br>",
1.3,3.5,[31], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Existing classes can be reused, and program maintenance and verification are easier.",
1.3,2,[12], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Using different modules allows for easier debugging,
1.3,3.5,[21], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Data encapsulation concept,the use of functions or methods to manipulate data.",
1.3,4.5,[13], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution.",
1.3,5,[11], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify.  The code itself also looks more organized and is easier to read and will help to avoid redundant coding.  Post-programming maintenance is also easier.<br><br>Also, modules can be reused several times in other programs without too much hassle.   Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them.  Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again.",
1.3,4.5,[17], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Variables can remain private. The code is easily modified and reusable, as well as easily implemented. Not to mention easier to read and follow along as an observer.",
1.3,3.5,[7], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Data Abstraction and control... it is possible to isolate elements<br>from other elements a lot easier and prevent tampering of data.<br>,
1.3,4,[10], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Encapsulation - Objects use operations without knowing how the operation works.<br>Inheritance - cuts redundancy by reusing earlier classes.<br>Polymorphism - objects select the correct operation to use in the situation.,
1.3,4.5,[27], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"They make it easier to reuse and adapt previously written code and they separate complex programs into smaller, easier to understand classes.",
1.3,3.5,[20], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Existing classes can be reused, Program maintenance and verification are easier<br>",
1.3,3.5,[18], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Existing classes can be feused, Program maintenance and verification are easier",
1.3,5,[19], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability.",
1.3,4,[16], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Existing classes can be reused<br>Program maintenance and verifications are easy,
1.3,3.5,[26], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,1- Existing classes can be reused<br>2- Program maintenance and verification are easier <br>,
1.3,3.5,[1], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Information can be hidden. It is easier to debug. Programming is easier and more manageable. ,
1.3,3.5,[28], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Existing classes can be reused, program maintenance and verification are <br><br>easier.",
1.3,3.5,[15], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,existing classes can be reused<br>program maintenance and verification are easier,
1.3,3.5,[14], What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Well for one encapsulation the values of the variables inside an object are private, unless methods are written to pass info outside of the object. As well as Inheritance where each subclass inherits all variables and methods of its super class.  Example in the book included obj clock and how obj alarm would still use clock from the first class. ",
1.4,5,[6],Where do C++ programs begin to execute?,At the main function.,At function Ã¢??œint main ()Ã¢?¬â„¢,
1.4,5,[5],Where do C++ programs begin to execute?,At the main function.,the Function main().,
1.4,5,[8],Where do C++ programs begin to execute?,At the main function.,c++ programs begin to execute in the main method.,
1.4,5,[3],Where do C++ programs begin to execute?,At the main function.,A C++ program will begin to execute at the main() function.<br>,
1.4,5,[4],Where do C++ programs begin to execute?,At the main function.,They begin in the main() function.,
1.4,5,[24],Where do C++ programs begin to execute?,At the main function.,Int main(),
1.4,5,[9],Where do C++ programs begin to execute?,At the main function.,main method,
1.4,0,[22],Where do C++ programs begin to execute?,At the main function.,in the testing phase,
1.4,5,[23],Where do C++ programs begin to execute?,At the main function.,-At the MAIN function,
1.4,5,[2],Where do C++ programs begin to execute?,At the main function.,main,
1.4,5,[29],Where do C++ programs begin to execute?,At the main function., They begin to execute at the funcion main().,
1.4,5,[31],Where do C++ programs begin to execute?,At the main function.,The main method.,
1.4,2.5,[12],Where do C++ programs begin to execute?,At the main function.,At the root,
1.4,5,[21],Where do C++ programs begin to execute?,At the main function.,In the main() function.,
1.4,5,[13],Where do C++ programs begin to execute?,At the main function.,C++ programs begin execution at main.,
1.4,5,[11],Where do C++ programs begin to execute?,At the main function.,In the Main function..?,
1.4,5,[17],Where do C++ programs begin to execute?,At the main function.,"At the ""main()"" function",
1.4,5,[7],Where do C++ programs begin to execute?,At the main function.,The main function.,
1.4,5,[10],Where do C++ programs begin to execute?,At the main function.,The function main,
1.4,5,[27],Where do C++ programs begin to execute?,At the main function.,"After loading the required include statements and libraries, the main method begins the execution.",
1.4,5,[20],Where do C++ programs begin to execute?,At the main function.,main function,
1.4,5,[18],Where do C++ programs begin to execute?,At the main function.,main,
1.4,5,[19],Where do C++ programs begin to execute?,At the main function.,C++ programs begin execution at the main function.,
1.4,5,[16],Where do C++ programs begin to execute?,At the main function.,At main,
1.4,5,[26],Where do C++ programs begin to execute?,At the main function.,they beging to excute at main,
1.4,5,[1],Where do C++ programs begin to execute?,At the main function.,at the main function<br><br>int main() {},
1.4,5,[28],Where do C++ programs begin to execute?,At the main function.,C++ programs begin execution at the main function.,
1.4,5,[15],Where do C++ programs begin to execute?,At the main function.,"in the ""main"" function",
1.4,5,[14],Where do C++ programs begin to execute?,At the main function.,Within the main function,
1.5,2,[6],What is a variable?,A location in memory that can store a value.,Variable can be a integer or a string in a program.,
1.5,4.5,[5],What is a variable?,A location in memory that can store a value.,"In programming, a structure that holds data and is uniquely named by the programmer. It holds the data assigned to it until a new value is assigned or the program is finished.<br>",
1.5,5,[8],What is a variable?,A location in memory that can store a value.,A variable is a location in memory where a value can be stored.,
1.5,5,[3],What is a variable?,A location in memory that can store a value.," Variable is a location in the computer's memory, in which a value can be stored and later can retrieve that value.",
1.5,5,[4],What is a variable?,A location in memory that can store a value.,"A variable is a location in the computer's memory where a value can be stored for use by a program. Each variable has a name, a value, a type and a size.",
1.5,3.5,[24],What is a variable?,A location in memory that can store a value.,A named object that can hold a numerical or letter value,
1.5,4,[9],What is a variable?,A location in memory that can store a value.,"It's a sybol or name for a value/number. Example: 'a_used_number' can stand for any given number, and the programmer can refer to that number by using the variable name.",
1.5,5,[22],What is a variable?,A location in memory that can store a value.,A variable is a location in the computers memory where a value can be stored for use by a program,
1.5,4,[23],What is a variable?,A location in memory that can store a value., -An identifier that holds a location in memory.,
1.5,5,[2],What is a variable?,A location in memory that can store a value.,a block of memory that holds a specific type of data,
1.5,5,[29],What is a variable?,A location in memory that can store a value.,  It is a location in the computer's memory where it can be stored for use by a program.,
1.5,5,[31],What is a variable?,A location in memory that can store a value.,A location in memory where value can be stored.,
1.5,3,[12],What is a variable?,A location in memory that can store a value.,a value/word that can assume any of a set of values,
1.5,4,[21],What is a variable?,A location in memory that can store a value.,A pointer to a location in memory.,
